genesymbol	pre.1	pre.2	X20min.1	X20min.2
CAGL0E04334g	3247.75001	3428.75001	1290.50001	1651.12501
CAGL0E01485g	307.37501	310.00001	229.25001	233.50001
CAGL0M13321g	379.00001	404.87501	606.25001	575.50001
CAGL0J05676g	389.37501	383.25001	273.25001	288.50001
CAGL0J04004g	38.00001	52.12501	143.25001	143.00001
CAGL0I05654g	642.75001	698.50001	188.00001	265.25001
CAGL0G03311g	4507.75001	4675.75001	2332.37501	2746.25001
CAGL0E05764g	747.12501	780.37501	227.62501	327.00001
CAGL0J09504g	600.12501	595.50001	387.50001	425.75001
CAGL0F03795g	278.62501	272.50001	180.12501	190.00001
CAGL0A04829g	1131.25001	1103.25001	1987.50001	2198.25001
CAGL0H01287g	1372.25001	1346.50001	2280.00001	2100.75001
CAGL0E02035g	583.87501	620.12501	392.75001	364.00001
CAGL0M02849g	13190.50001	13190.50001	8538.00001	9457.25001
CAGL0G06248g	1099.50001	1304.50001	134.50001	224.50001
CAGL0J02530g	2.50001	5.75001	79.25001	78.00001
CAGL0A02299g	104.25001	99.00001	24.75001	25.25001
CAGL0H01001g	1200.00001	1309.25001	721.25001	666.37501
CAGL0L09581g	631.00001	611.75001	389.00001	428.50001
CAGL0A03971g	281.00001	269.00001	168.50001	178.50001
CAGL0J10824g	548.00001	578.50001	407.75001	405.25001
CAGL0G04983g	275.75001	241.00001	78.00001	85.25001
CAGL0L09691g	310.87501	338.75001	649.25001	722.12501
CAGL0I09592g	437.12501	524.12501	81.37501	78.00001
CAGL0I01342g	2903.75001	3015.50001	2396.25001	2436.75001
CAGL0G07887g	571.25001	549.87501	690.50001	682.50001
CAGL0M13651g	582.37501	666.75001	1669.00001	1477.25001
CAGL0F03729g	637.50001	607.50001	1146.25001	1046.75001
CAGL0I05478g	396.50001	387.75001	535.75001	565.87501
CAGL0J06996g	332.75001	303.62501	469.50001	467.00001
CAGL0H06765g	120.00001	121.75001	203.87501	215.25001
CAGL0A00407g	904.00001	855.75001	1622.50001	1482.00001
CAGL0I01672g	89.50001	91.25001	164.00001	162.25001
CAGL0L08068g	832.75001	794.00001	579.25001	605.00001
CAGL0J09108g	623.75001	594.00001	834.00001	802.00001
CAGL0M06083g	4297.50001	3999.25001	6124.50001	5845.50001
CAGL0J09262g	82.25001	82.25001	299.25001	258.50001
CAGL0K07073g	177.50001	180.00001	252.87501	258.50001
CAGL0G00330g	104.25001	99.50001	26.00001	20.75001
CAGL0L02431g	304.50001	351.25001	550.25001	562.50001
CAGL0B02981g	214.00001	162.00001	439.00001	430.75001
CAGL0E00583g	134.87501	130.25001	553.00001	470.12501
CAGL0H01331g	292.50001	288.62501	200.75001	210.25001
CAGL0G07315g	285.75001	263.25001	942.25001	810.62501
CAGL0C00759g	552.75001	637.00001	152.00001	191.75001
CAGL0L05236g	932.75001	800.00001	1468.25001	1505.25001
CAGL0L09086g	76.50001	76.50001	153.00001	148.50001
CAGL0D02464g	134.87501	153.00001	251.50001	252.75001
CAGL0L09647g	1591.00001	1595.12501	946.625009999999	784.75001
CAGL0M12144g	2812.25001	2995.75001	1459.00001	1692.25001
CAGL0D05346g	231.25001	198.00001	379.00001	386.37501
CAGL0K02805g	148.50001	188.00001	360.87501	357.25001
CAGL0H10142g	4443.75001	4879.00001	2694.00001	2555.75001
CAGL0G02123g	588.25001	629.25001	806.50001	803.50001
CAGL0L07238g	988.25001	900.50001	1601.25001	1498.25001
CAGL0H08393g	432.00001	386.12501	140.50001	96.75001
CAGL0I07271g	233.75001	265.62501	425.25001	447.50001
CAGL0J11704g	179.37501	198.00001	352.25001	328.50001
CAGL0K00473g	639.62501	578.50001	252.87501	294.37501
CAGL0D05808g	642.75001	578.50001	908.50001	902.50001
CAGL0M11748g	949.75001	902.50001	1198.75001	1242.62501
CAGL0F02101g	123.75001	109.75001	213.25001	210.25001
CAGL0K06853g	588.25001	649.25001	1056.12501	990.00001
CAGL0K06787g	3655.50001	3387.00001	1692.25001	1964.75001
CAGL0L04774g	1267.75001	1267.37501	872.00001	951.00001
CAGL0B02387g	70.87501	60.37501	156.50001	167.00001
CAGL0E00913g	786.75001	849.62501	1113.00001	1102.25001
CAGL0D01826g	1768.75001	1741.75001	874.62501	1051.87501
CAGL0K04939g	266.50001	271.50001	400.75001	378.87501
CAGL0L02893g	381.50001	365.37501	134.50001	178.50001
CAGL0G05698g	127.75001	113.25001	227.62501	218.50001
CAGL0J03190g	116.25001	108.25001	190.87501	195.75001
CAGL0G06094g	194.87501	218.37501	531.00001	470.12501
CAGL0G02827g	360.37501	355.25001	521.75001	560.12501
CAGL0G08866g	434.50001	430.75001	358.00001	361.12501
CAGL0K04323g	64.37501	75.00001	177.50001	164.50001
CAGL0A00429g	1607.75001	1551.00001	1145.50001	1215.25001
CAGL0C03894g	312.00001	332.75001	463.75001	487.00001
CAGL0G02299g	410.50001	408.25001	219.62501	255.50001
CAGL0K05203g	1391.75001	1512.50001	1980.62501	1991.25001
