genes	logFC.wtvswt.20min	logFC.wtvswt.30min	logFC.wtvswt.45min	logFC.wtvswt.60min	logFC.wtvswt.90min	logFC.wtvswt.120min	logFC.wtvswt.150min	logFC.wtvswt.180min	logFC.wtvswt.240min	logCPM	F	PValue	FDR
CAGL0L11462g	-1.28954968022186	-2.93442648125375	-5.16508213226545	-5.52136061317749	-5.40412407674819	-4.83833524537246	-4.62658668936829	-5.03066267795131	-3.81383244775875	9.73888049443808	153.956263516598	1.46713529376748e-10	1.0361813400025e-08
CAGL0C04917g	-0.381978330522174	-0.90407108478638	-1.50233836048205	-1.79306887156229	-2.88818408504854	-2.91022413333154	-2.49497686826972	-2.56369667224444	-2.70971705488926	6.27323616069775	153.634552250312	1.48450048710961e-10	1.0361813400025e-08
CAGL0K01243g	0.540813297862397	0.724365585582505	0.912574948174242	0.625653237041365	-0.298193766690117	-0.729583175605915	-0.822317905513278	-0.884222848042967	-0.942387921724641	6.89828923649594	153.186806475333	1.50907254547827e-10	1.03947299678668e-08
CAGL0M00638g	-1.22879456307685	-2.35590058477472	-3.08903648605305	-3.08205023854753	-2.96677908560524	-2.51811796614438	-2.59148067048058	-2.55803945399455	-2.41310731247329	6.76142650275956	152.032416684882	1.57466305005935e-10	1.07012459750408e-08
CAGL0J06930g	0.163298255562284	0.285465043982035	0.312248981367231	-0.0253568140727668	-1.41417250596337	-1.61364637970507	-1.5349065796847	-1.53122059972815	-1.60014939609391	7.5644043454831	151.695145183563	1.59445498768516e-10	1.07012459750408e-08
CAGL0J11858g	0.2276255338373	0.512786302894115	0.665592733174634	0.394642456642716	-0.838492397019599	-1.21429587209254	-1.44254496250007	-1.52699045304331	-1.65581062540506	7.47608897527271	150.82042053931	1.64716419553196e-10	1.08582791468962e-08
CAGL0B04367g	1.34112502785917	2.14266856195176	2.83762043653716	2.63485909553768	1.55548113269737	1.28047855453473	1.01869594887094	1.06786266569771	0.479066580202604	6.66680959721093	150.543117575686	1.6642997035588e-10	1.08582791468962e-08
CAGL0G06776g	0.513047159602542	0.78393634256901	0.969586814033573	0.633815840354587	-0.312854550543784	-0.674742244097785	-0.713183008683288	-0.782313628118468	-1.1514654259687	6.9214679912667	149.9632740272	1.70081217690834e-10	1.08582791468962e-08
CAGL0C04543g	1.80765609911897	2.97151290844307	3.80273629290746	3.99880153160203	4.23150541080272	4.31744033362109	4.39290058521253	4.42430098631126	3.96439943096474	8.31739667248758	149.963162743919	1.70081927420341e-10	1.08582791468962e-08
CAGL0G07535g	-2.33160160395785	-3.93414370995545	-4.48177006862036	-3.69886803839114	-3.03400266114426	-2.64269845604308	-2.49651987479569	-2.55885869159666	-2.13652827125266	5.80137388879894	149.457861945667	1.73340783092561e-10	1.09329999938501e-08
CAGL0I02398g	-2.42030595222907	-5.64290881812976	-6.31028575587621	-5.3828050456823	-4.67189441340717	-3.50493471012137	-3.18287124531493	-3.48610228002717	-2.6022043875275	6.05725678383489	164.60148626773	1.75635528614612e-10	1.09458570511607e-08
CAGL0G06050g	9.78898478088733	9.83561120035952	10.1813653482745	10.0682695641035	10.3853007126254	10.4395330382469	10.9056356066496	11.2509447970202	11.1237661537079	8.89977354304168	148.387812942138	1.80487377819465e-10	1.11158990927635e-08
CAGL0H03377g	-2.53489788858927	-4.04333896112006	-4.19483985789473	-4.37439383175687	-3.88077052375746	-2.78687974893556	-2.48277459150936	-2.69411892131676	-2.14901526684359	5.96368530897421	147.690949307636	1.85327943728535e-10	1.12812998304521e-08
CAGL0E00979g	-1.75617226052377	-3.06633255461652	-3.28194989684646	-2.83456968768144	-2.45535271806732	-2.04559100576038	-1.9710300565601	-1.98778760776966	-1.86628466600802	6.07564407212586	147.218248021572	1.88698372833022e-10	1.13544365721939e-08
CAGL0G07227g	-1.16343658591542	-2.89431263269481	-5.37203401868355	-5.74664231739291	-5.66369054189677	-5.03389953019026	-4.95942226031856	-5.47498326854095	-4.21466667276812	9.66225702472486	148.585678791269	1.9173199211773e-10	1.14058747583672e-08
CAGL0F07117g	1.66599736198462	2.895552258079	3.59544250505891	3.76219414425371	3.90975844391658	4.08783865713971	4.02602542074492	4.01341892463484	3.98003959766216	7.81397434308175	144.783341290842	2.07244859184975e-10	1.17075561808635e-08
