gene.names	S37	S38	S1	S2
CAGL0C03267g	2589	2778	381	1279
CAGL0C03289g	312	392	128	312
CAGL0C03311g	94	98	32	84
CAGL0C03333g	417	412	94	274
CAGL0C03355g	266	347	100	297
CAGL0C03369g	3120	3808	992	3074
CAGL0C03384r	4	8	6	15
CAGL0C03399g	1382	1461	379	996
CAGL0C03421g	784	800	195	707
CAGL0C03432r	3	0	3	11
CAGL0C03443g	722	948	158	895
CAGL0C03465g	613	567	136	369
CAGL0C03487g	403	463	98	278
CAGL0C03509g	997	977	216	583
CAGL0C03531g	870	949	199	856
CAGL0C03553g	320	304	24	326
CAGL0C03575g	0	0	0	0
CAGL0C03597g	1748	1561	181	1186
CAGL0C03608g	2540	2869	624	1961
CAGL0C03630g	2002	2326	807	1874
CAGL0C03652g	863	890	229	647
CAGL0C03674g	308	304	78	213
CAGL0C03696g	269	238	51	158
CAGL0C03718r	0	0	0	0
CAGL0C03740g	1756	1833	240	843
CAGL0C03762g	210	200	73	178
CAGL0C03784g	612	715	249	717
CAGL0C03806r	0	0	0	0
CAGL0C03828g	31	33	11	28
CAGL0C03850g	473	547	78	364
CAGL0C03872g	21	17	2	19
CAGL0C03894g	626	684	150	462
CAGL0C03916g	75	63	28	93
CAGL0C03938g	0	0	0	0
CAGL0C03960g	0	0	0	0
CAGL0C03982g	0	0	0	0
CAGL0C04004g	122	151	32	76
CAGL0C04026g	430	407	105	321
CAGL0C04048g	1399	1566	497	1290
CAGL0C04070r	0	0	0	1
CAGL0C04092g	420	387	87	282
CAGL0C04114g	3548	4769	1306	3370
CAGL0C04136g	3267	4359	1200	3288
CAGL0C04169g	649	671	115	350
CAGL0C04191g	865	717	119	383
CAGL0C04213g	1	3	1	5
CAGL0C04235g	482	498	212	393
CAGL0C04257g	857	925	254	684
CAGL0C04279g	611	690	250	480
CAGL0C04301g	4079	4344	1764	3861
CAGL0C04323g	143	153	14	46
CAGL0C04345s	0	0	0	0
CAGL0C04367g	1189	1400	205	831
CAGL0C04389g	5773	6830	1960	5686
CAGL0C04411g	2623	3575	996	2663
CAGL0C04433g	1292	1159	389	942
CAGL0C04455g	923	877	72	729
CAGL0C04477g	876	866	197	579
CAGL0C04499g	574	507	111	444
CAGL0C04521r	0	0	0	0
