CAGL0I04700r	TLC1
CAGL0A02453r	tM(CAU)1
CAGL0E05544r	tM(CAU)2
CAGL0I01540r	tM(CAU)3
CAGL0I03278r	tM(CAU)4
CAGL0I10857r	tM(CAU)5
CAGL0J01133r	tM(CAU)6
CAGL0M03509r	tM(CAU)7
CAGL0B05027r	tN(GUU)1
CAGL0D03476r	tN(GUU)2
CAGL0D04906r	tN(GUU)3
CAGL0E00297r	tN(GUU)4
CAGL0I05368r	tN(GUU)5
CAGL0I10032r	tN(GUU)6
CAGL0J04730r	tN(GUU)7
CAGL0L08690r	tN(GUU)8
CAGL0M03443r	tN(GUU)9
CAGL0F08371g	TNA1
CAGL0L13354g	TNR1
CAGL0M14113g	TNR2
CAGL0J05610g	TOP2
CAGL0H02959g	TOS8
CAGL0B05005r	tP(AGG)1
CAGL0A00671r	tP(UGG)1
CAGL0F01353r	tP(UGG)2
CAGL0G00616r	tP(UGG)3
CAGL0G03817r	tP(UGG)4
CAGL0I01716r	tP(UGG)5
CAGL0I03124r	tP(UGG)6
CAGL0K05929r	tP(UGG)7
CAGL0F00957g	TPD3
CAGL0H08327g	TPI1
CAGL0G03927g	TPO1_1
CAGL0E03674g	TPO1_2
CAGL0I10384g	TPO3
CAGL0J09812g	TPS1
CAGL0G05335g	TPS2
CAGL0F03355r	tQ(CUG)1
CAGL0J06644r	tQ(CUG)2
CAGL0A02167r	tQ(UUG)1
CAGL0E00825r	tQ(UUG)2
CAGL0I08921r	tQ(UUG)3
CAGL0J02772r	tQ(UUG)4
CAGL0L00913r	tQ(UUG)5
CAGL0L07964r	tQ(UUG)6
CAGL0B01661r	tR(ACG)1
CAGL0I08657r	tR(ACG)2
CAGL0L07612r	tR(ACG)3
CAGL0M11132r	tR(ACG)4
CAGL0K04081r	tR(CCG)1
CAGL0D06072r	tR(CCU)1
CAGL0C03806r	tR(UCU)1
CAGL0D05038r	tR(UCU)2
CAGL0D06358r	tR(UCU)3
CAGL0E03333r	tR(UCU)4
CAGL0G06204r	tR(UCU)5
CAGL0I03058r	tR(UCU)6
CAGL0L04972r	tR(UCU)7
CAGL0L11396r	tR(UCU)8
CAGL0M05093r	tR(UCU)9
CAGL0C04092g	TRP1
CAGL0I05016g	TRP2
CAGL0A01430g	TRP5
CAGL0I01166g	TRR1
CAGL0K00803g	TRX2
CAGL0C04521r	tS(AGA)1
CAGL0F02981r	tS(AGA)2
CAGL0I01452r	tS(AGA)3
CAGL0I01760r	tS(AGA)4
CAGL0I08173r	tS(AGA)5
CAGL0I08679r	tS(AGA)6
CAGL0J00979r	tS(AGA)7
CAGL0L01375r	tS(AGA)8
CAGL0M08998r	tS(AGA)9
CAGL0K09174r	tS(CGA)1
CAGL0H01991r	tS(GCU)1
CAGL0K05885r	tS(GCU)2
CAGL0M01012r	tS(GCU)3
CAGL0K07722r	tS(UGA)1
CAGL0M12529r	tS(UGA)2
CAGL0K06259g	TSA1
CAGL0B01309r	tT(AGU)1
CAGL0C04070r	tT(AGU)2
CAGL0F01309r	tT(AGU)3
CAGL0F02409r	tT(AGU)4
CAGL0G01518r	tT(AGU)5
CAGL0G04301r	tT(AGU)6
CAGL0H09284r	tT(AGU)7
CAGL0I07403r	tT(AGU)8
CAGL0K08778r	tT(AGU)9
CAGL0F00385r	tT(CGU)1
CAGL0B04081r	tT(UGU)1
CAGL0G02981r	tT(UGU)2
CAGL0M13299r	tT(UGU)3
CAGL0K12650g	TUB2
CAGL0C03608g	TUP1
CAGL0C03157r	tV(AAC)1
CAGL0K02607r	tV(AAC)10
CAGL0D04224r	tV(AAC)2
CAGL0D06248r	tV(AAC)3
CAGL0G05137r	tV(AAC)4
CAGL0H04433r	tV(AAC)5
CAGL0I06622r	tV(AAC)6
CAGL0I06897r	tV(AAC)7
CAGL0J01551r	tV(AAC)8
CAGL0K01111r	tV(AAC)9
CAGL0F08349r	tV(CAC)1
CAGL0H09900r	tV(UAC)1
CAGL0K11704r	tV(UAC)2
CAGL0B03729r	tW(CCA)1
CAGL0F06083r	tW(CCA)2
CAGL0F07205r	tW(CCA)3
CAGL0G09405r	tW(CCA)4
CAGL0K07227r	tW(CCA)5
CAGL0G08976r	tY(GUA)1
CAGL0H01903r	tY(GUA)2
CAGL0I02618r	tY(GUA)3
CAGL0K10538r	tY(GUA)4
CAGL0K11154r	tY(GUA)5
CAGL0L01595r	tY(GUA)6
CAGL0J08096g	UFD1
CAGL0L01925g	UGP1
CAGL0C01199g	UPC2A
CAGL0F07865g	UPC2B
CAGL0I03080g	URA3
CAGL0J06600g	URA5
CAGL0F04433g	URA7
CAGL0J07392g	URE2
CAGL0C02211g	UTR2
