genes	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	AveExpr	F	P.Value	adj.P.Val
CAGL0M08822g	3.0112152244339	2.92519511750809	3.21779977828319	3.29632639021784	3.05616304310559	2.976981281017	2.90405822437486	2.86594340908733	2.85760775473283	8.6463375925708	37.8922141303502	5.60340673451156e-07	2.39851465700474e-06
CAGL0K00473g	-1.20199628901055	-2.07259978308604	-2.28528941161721	-1.91787959992921	-1.78850059975558	-1.44557676442558	-1.54593304055445	-1.86144730361598	-1.50369403190244	5.62869771599334	37.767548276605	5.7002948846747e-07	2.43401661674323e-06
CAGL0D03982g	1.46533131825796	2.50317491763412	2.86099523521761	2.73710758384083	2.29723642370464	1.86963943550674	2.20621686964625	2.33727994672466	1.69955571164473	8.54608705427887	37.737976493495	5.72356753355992e-07	2.44196218730124e-06
CAGL0G04411g	-1.70787731588654	-3.5637758369473	-3.44559668644056	-3.13622597667415	-2.45037065814099	-1.86987873265168	-1.69683683018755	-1.94901580218029	-1.2102272506866	6.14702622326278	37.7167259196629	5.74036090681799e-07	2.44352016770279e-06
CAGL0G03443g	-2.12449571717591	-3.7252435751501	-4.0748658741742	-3.34833427479317	-2.67730955684294	-2.3114844415873	-1.63551066568867	-1.80476516753894	-1.24638105539676	6.85219723657765	37.7156380473241	5.74122217053377e-07	2.44352016770279e-06
CAGL0M04719g	-2.43894530346711	-4.05324777989798	-4.61182141073833	-4.25434183175135	-2.73431098854061	-1.88485418797155	-1.99624702034814	-2.43486820468095	-2.13826023461874	3.93642593470295	37.672052327379	5.77585487653402e-07	2.4562632232864e-06
CAGL0L07128g	1.13244120718078	1.80907638593833	2.03156859532777	1.99129831660967	1.9118323878956	1.7476657959929	1.69778811301796	1.80999932942426	1.523059584839	7.04230485128572	37.5922162257109	5.83993478716626e-07	2.48149826386488e-06
CAGL0K10626g	1.69504953062555	3.38699858469065	3.26523306123009	2.86422358812025	2.52334848307495	1.87101573013781	1.97856811989902	2.16554308061211	1.55530333572294	7.3875253465845	37.5796211648846	5.8501207586246e-07	2.48179758277146e-06
CAGL0L07370g	-0.219776040536019	-0.900630989656481	-1.70297516907754	-1.12265270429806	-1.42354196289787	-1.97028831319814	-1.76021618009201	-1.244162542982	-2.07176572210338	6.3160257142192	37.5117748313944	5.9053528388647e-07	2.50320017096815e-06
CAGL0G06248g	-2.83874192439934	-4.61573063273163	-4.01811517067241	-3.62944214140206	-2.76728271761359	-2.06207579073298	-1.95858418427233	-1.97601701321094	-1.52816338152014	5.50774098995262	37.5057735961373	5.91026792972866e-07	2.50325668382925e-06
CAGL0I10560g	-2.46006815253003	-4.63253807526802	-4.19741214870901	-3.95692092723807	-3.1036864371854	-2.51083501723514	-2.22263011015329	-2.5654887318462	-1.89285068030869	5.24343144487777	37.4752877402076	5.93531110426691e-07	2.50629316121758e-06
CAGL0J00385g	-1.79178803871996	-3.01106952891226	-3.05635007662418	-2.83192733022117	-2.26958103701723	-2.48830611920149	-2.41658297375198	-3.07429247597792	-2.23393154349157	4.58161824085258	37.4737381040855	5.93658743058224e-07	2.50629316121758e-06
CAGL0B00880g	-1.39511395755231	-2.30358325700812	-2.24895695680911	-1.99620279652108	-1.68339255491911	-1.37720140252564	-1.70336827132035	-1.6994367143923	-1.16536573395463	5.26706710176681	37.4244920391059	5.97731756607684e-07	2.51537439376304e-06
CAGL0F01925g	-2.39854987027504	-4.59282513438546	-4.36693996187646	-3.8342154784967	-3.26677503511999	-2.18882540467543	-2.51546970161534	-2.73231792910449	-1.80751989424111	3.71869485634871	37.3819596251049	6.01276126581951e-07	2.52825744791688e-06
CAGL0M03487g	-2.15197210126856	-4.24242671584824	-4.68743851510332	-4.6302909709724	-3.75906767515526	-3.2080330089557	-2.19677506799307	-2.77082835152872	-2.48911593927567	3.3367945254308	37.2880239996234	6.09192570650004e-07	2.5472229291955e-06
CAGL0D05280g	0.932891144235704	1.05578053204358	1.26975406255533	1.44044487545905	1.66820993391064	1.71937301922529	1.76399922514092	1.96396762296335	2.15909699332949	6.59640144372974	37.2758221092458	6.1022990989302e-07	2.54952400501992e-06
CAGL0F08459g	-0.827896846250779	-2.09365257475348	-3.26938160947136	-2.91825268539639	-2.71233994910197	-2.4888790203892	-2.35785405279363	-2.64471108007513	-2.11825166896663	7.38726620306148	37.1234043804264	6.23365345026119e-07	2.5878807146802e-06
CAGL0C01397g	2.46390842249222	3.89578969691019	3.80479883250559	3.91585951671502	4.13260751111172	4.29473711957646	4.72033295422786	4.89357595214386	4.84615518389975	5.24970475014901	37.0138190023347	6.3301639320753e-07	2.62170950826062e-06
CAGL0K01639g	0.969226522903059	1.59697734701726	1.98850990873768	2.16566745408744	2.16686951006759	2.26067454573307	2.07575837462954	2.09774138996254	2.04091997149148	6.6988138730956	36.9696087634649	6.36959901889598e-07	2.63595659003324e-06
