genesymbol	wtvswt.20min	wtvswt.30min	wtvswt.45min	wtvswt.60min	wtvswt.90min	wtvswt.120min	wtvswt.150min	wtvswt.180min	wtvswt.240min	AveExpr	F	P.Value	adj.P.Val
CAGL0L12562g	0.377624412041598	0.270353105925311	0.135674867962476	0.266929350786239	0.203531581857421	-0.113066471347879	-0.113177121551688	-0.129494669463679	0.21006677577459	5.08712373046896	6.67331436517663	0.00451455601887026	0.0059590773471472
CAGL0B01589g	0.0855112118906796	0.461116970363821	0.397002908017475	0.098635881542716	-0.0615874988971585	0.00223075501380965	-0.281119480126368	-0.187782090863656	-0.12020342369056	6.02423853383204	6.65994007089606	0.00454711619185906	0.00600054279414726
CAGL0J07524g	0.143536224208289	0.076356111629754	-0.0725901967340503	-0.162560864102863	-0.305357760039124	-0.351689384015344	-0.522356595021854	-0.487205213513332	-0.333083243693155	6.70433071326392	6.65895004755548	0.0045495377634745	0.00600222535075328
CAGL0B02838g	0.434540210826071	0.37538490291425	0.226418575567876	0.0944499421230844	-0.312359749224594	-0.500250520701041	0.123717936578834	0.15269818025448	0.503433246289386	5.50551956017887	6.65677605917061	0.00455486078469306	0.00600773399039258
CAGL0M04477g	-0.838077245356805	-1.61102726552177	-1.32418541421703	-1.37344959966843	-1.66629259863075	-1.2759752509836	-0.99498753379565	-0.770436842162291	-0.72343840876703	2.0018642796136	6.65614330818386	0.00455641150041905	0.00600826554274401
CAGL0K00407g	0.175604404637448	0.134498978433562	-0.00305913251333756	0.0384880276829414	-0.197051148300568	-0.152034401227745	-0.234726567254769	-0.231839482126599	-0.391799396483898	7.78618700670153	6.64591633816428	0.00458156448070173	0.00603991187521369
CAGL0K05489g	0.224543769263766	0.483639284376015	0.683021515987722	0.531691512027615	0.520991428437311	0.562471218694105	0.237364043120231	0.264456257963809	0.33289918738586	6.26467341087569	6.63991301855341	0.00459640810380571	0.00605795478938139
CAGL0A04785g	0.321229508845075	0.347592476456676	0.400586172860722	0.525934683652808	0.484028631227035	0.537293009674435	0.527982272315875	0.528197024940913	0.394276573957935	7.87076627299346	6.63665169167758	0.00460449645840309	0.00606708758110752
CAGL0G07188g	-0.0648643041073893	1.92585556257016	1.99754234688168	2.32844121649642	1.64678997477684	1.27081683869399	2.76691302564573	2.21003624444132	1.88666142990112	0.284051738263873	6.63360655801358	0.0046120642561378	0.00607553004048349
CAGL0F01287g	0.286701318235927	0.509298969394054	0.705677993017609	0.549412285478263	0.525372594023207	0.382397328930976	0.492294083741806	0.554712443779119	0.751901632811846	8.41723861510015	6.62182824851454	0.00464147850318048	0.0061127396136226
CAGL0F02871g	0.0178112380124169	-0.191510954281033	-0.404724930411731	-0.327589385233696	-0.391362405713791	-0.466539246567613	-0.602922144371791	-0.590299994752232	-0.370245883423052	6.12005316910143	6.6058860188578	0.00468165539491389	0.00616410110472189
CAGL0L02211g	0.459315802446396	0.636442304548645	0.760695604359176	0.605157702287356	0.528079457186482	0.62569530329852	0.612068042851752	0.708365350951547	0.491891767291481	5.07437212498765	6.60134433925697	0.00469317839492708	0.00617771910923894
CAGL0H08327g	0.240021297274396	0.2308860634617	0.672016103482552	0.770471978953299	0.998397630631597	1.27266373593395	1.0270878091774	0.644836408994596	1.0058253782755	12.4926362745327	6.59884607647662	0.0046995315982614	0.00618452687704837
CAGL0B04235g	-0.490229424799435	0.40841993185909	0.31912298689529	-0.224620159359185	0.055784351255465	-0.387145962534935	0.0215380978338651	-0.66977166609288	-1.23314548642926	1.70501795661307	6.59011272660081	0.00472182321121844	0.00621160304819814
CAGL0K03971g	0.201273564358138	0.159901365484195	-0.0267816005576309	-0.161032858854658	-0.0122142208296072	-0.0836303999104784	-0.301560086584657	-0.256960623631843	-0.109772025373397	6.04399051068768	6.58985637089883	0.00472247949032065	0.00621160304819814
