genesymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CAGL0A01606g	-74.25	52.75001	-8.24829575954212	0.00447662838383795	0.0159828218202086	-4.45828798370759
CAGL0A00781g	-167.8125	379.65626	-8.24084882052856	0.00448781445762591	0.0160018576231867	-4.45830233423239
CAGL0F01815g	-208	226.62501	-8.24075204658702	0.00448796006829534	0.0160018576231867	-4.45830252096096
CAGL0H06732g	-67.3750000000001	165.68751	-8.23595211703791	0.00449519021464186	0.0160119397815057	-4.4583117903801
CAGL0F01155g	65.125	275.18751	8.23489046658085	0.00449679148719452	0.0160119397815057	-4.45831384265955
CAGL0L10318g	-165.75	309.50001	-8.227377136321	0.00450814559343547	0.016032745801517	-4.4583283881254
CAGL0H10098g	83.75	205.00001	8.22704647007557	0.00450864617590466	0.016032745801517	-4.45832902914397
CAGL0J07722g	209.625	300.18751	8.22225982839731	0.00451590082501654	0.0160478447705784	-4.4583383165407
CAGL0L05478g	-577.0625	1501.46876	-8.19633788253171	0.00455546091216596	0.0161776488052552	-4.4583888790577
CAGL0G07337g	-279.9375	433.34376	-8.18468030666462	0.00457340308902208	0.0162305602640345	-4.45841176574493
CAGL0A02530g	-172.625	1162.31251	-8.16790890537212	0.0045993822881355	0.0163058910473681	-4.45844485430581
CAGL0K01969g	181.625	164.68751	8.16694323853821	0.00460088413161156	0.0163058910473681	-4.45844676533699
CAGL0J01529g	94.875	565.56251	8.16506924827907	0.00460380050943689	0.0163058910473681	-4.45845047574166
CAGL0L05126g	-239.8125	909.90626	-8.15940975138889	0.00461262307805576	0.0163135403575811	-4.45846169588433
CAGL0B03971g	-102.125	308.50001	-8.15805176597932	0.00461474340271932	0.0163135403575811	-4.45846439141017
CAGL0B04807g	254.4375	1052.28126	8.15691627796668	0.00461651732715251	0.0163135403575811	-4.45846664626497
CAGL0B00506g	-69.0000000000001	413.37501	-8.15584368006789	0.0046181938395102	0.0163135403575811	-4.4584687770476
CAGL0E03850g	1000.5625	1155.09376	8.14206655364544	0.00463980067270846	0.0163790183906201	-4.45849621675547
CAGL0D02860g	69.3125	71.78126	8.133746765224	0.00465291426403912	0.0164089442905484	-4.45851285081339
CAGL0K08536g	-366.4375	494.84376	-8.13278677833349	0.00465443057960249	0.0164089442905484	-4.45851477324563
CAGL0F00825g	-100.6875	355.40626	-8.12313046500084	0.00466971974299181	0.0164428190397984	-4.45853414632285
CAGL0G03795g	-19173.25	13942.37501	-8.12187742058859	0.00467170865529189	0.0164428190397984	-4.45853666502793
CAGL0H05555g	192.625	337.18751	8.12088345276555	0.00467328715116879	0.0164428190397984	-4.45853866375239
